rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
2,1000,10,1,4,4000,0.00017745900549925864,2.0840324589953525,0.4486088340054266,14231322,1895675,352080,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,5,4,4000,0.0007895419985288754,2.0722888329910347,0.44807729199237656,14230674,1895423,352080,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,20,4,4000,0.003037000002223067,2.0955523750017164,0.44708691599953454,14230015,1895119,352080,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,30,5,4,4000,0.002311750009539537,5.431133082995075,1.1819288330007112,36294214,4656015,992240,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,60,5,4,4000,0.004614042001776397,10.42714995899587,2.2716827090043807,69646825,8928170,1952480,2.7755575615628914e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,2000,3,5,4,8000,0.0004809159872820601,1.8125043750042096,0.19327658400288783,12609865,850960,256024,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,2000,10,5,4,8000,0.001557708004838787,4.1903120419883635,0.44727804099966306,28459461,1894880,704080,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,2000,30,5,4,8000,0.004707459011115134,10.941560665989527,1.190877041008207,72581569,4655867,1984240,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,2000,60,5,4,8000,0.010090665993629955,21.098736792002455,2.2668111660022987,139288063,8929792,3904480,1.6653345369377348e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,1,12,12000,0.0005143750022398308,6.487293290992966,0.4525605000089854,42709762,1895238,1056080,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,5,12,12000,0.002330041999812238,6.433850041998085,0.4615061670046998,42709669,1895352,1056080,1.9984014443252818e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,20,12,12000,0.009278875004383735,6.407407666993095,0.4493308329983847,42709062,1895611,1056080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,5000,3,5,4,20000,0.0011797909974120557,4.655100292002317,0.19081937499868218,31535457,850922,640024,1.887379141862766e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,5000,10,5,4,20000,0.0038685410108882934,10.495733167001163,0.4465888749982696,71159939,1895545,1760080,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,5000,30,5,4,20000,0.012958292005350813,27.38875095799449,1.1800623330054805,181467049,4655363,4960240,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,5000,60,5,4,20000,0.025578582994057797,52.732823250000365,2.278401416988345,348203814,8927008,9760480,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
